normalized-losses,make,bahan-bakar,jumlah-pintu,body-style,wheel-bases,length,width,height
161,peugot,diesel,four,sedan,107.9,186.7,68.4,56.7
?,peugot,gas,four,wagon,114.2,198.9,68.4,58.7
?,peugot,diesel,four,wagon,114.2,198.9,68.4,58.7
161,peugot,gas,four,sedan,107.9,186.7,68.4,56.7
161,peugot,diesel,four,sedan,107.9,186.7,68.4,56.7
?,peugot,gas,four,wagon,114.2,,,56.7
?,peugot,diesel,four,wagon,114.2,198.9,68.4,58.7
161,peugot,gas,four,sedan,107.9,186.7,68.4,56.7
161,peugot,diesel,four,sedan,107.9,186.7,68.4,56.7
161,peugot,gas,four,sedan,108,186.7,68.3,56
119,plymouth,gas,two,hatchback,93.7,157.3,63.8,50.8
119,plymouth,gas,two,hatchback,93.7,157.3,63.8,50.8
154,plymouth,gas,four,hatchback,93.7,157.3,63.8,50.6
154,plymouth,gas,four,sedan,93.7,167.3,63.8,50.8
154,plymouth,gas,four,sedan,93.7,167.3,63.8,50.8
74,plymouth,gas,four,wagon,103.3,174.6,64.6,59.8
?,plymouth,gas,two,hatchback,95.9,173.2,66.3,50.2
186,porsche,gas,two,hatchback,94.5,168.9,68.3,50.2
?,,gas,two,hardtop,89.5,168.9,65,51.6
?,porsche,gas,two,hardtop,89.5,168.9,65,51.6
?,porsche,gas,two,convertible,89.5,168.9,65,51.6
?,porsche,gas,two,hatchback,98.4,175.7,72.3,50.5
?,renault,gas,four,wagon,96.1,181.5,66.5,55.2
?,renault,gas,two,hatchback,96.1,176.8,66.6,50.5
150,saab,gas,two,hatchback,99.1,186.6,66.5,56.1
104,saab,gas,four,sedan,99.1,186.6,66.5,56.1
150,saab,gas,two,hatchback,99.1,186.6,66.5,56.1
104,saab,gas,four,sedan,99.1,186.6,66.5,56.1
150,saab,gas,two,hatchback,99.1,186.6,66.5,56.1
104,saab,gas,four,sedan,99.1,186.6,66.5,56.1
83,subaru,gas,two,hatchback,93.7,156.9,63.4,53.7
83,subaru,gas,two,hatchback,93.7,157.9,63.6,53.7
83,subaru,gas,two,hatchback,93.3,157.3,63.8,55.7
102,subaru,,four,sedan,97.2,172,65.4,52.5
102,subaru,gas,four,sedan,97.2,172,65.4,52.5
102,subaru,gas,four,sedan,97.2,172,65.4,52.5
102,subaru,gas,four,sedan,97,172,65.4,54.3
102,,gas,four,sedan,97,172,65.4,54.3
89,subaru,gas,four,wagon,97,173.5,65.4,53
89,subaru,gas,four,wagon,97,173.5,65.4,53
85,subaru,gas,four,wagon,96.9,173.6,65.4,54.9
85,subaru,gas,four,wagon,96.9,173.6,65.4,54.9
87,toyota,gas,two,hatchback,95.7,158.7,63.6,54.5
87,toyota,gas,two,hatchback,95.7,158.7,63.6,54.5
74,toyota,gas,four,hatchback,95.7,158.7,63.6,54.5
77,toyota,,four,wagon,95.7,169.7,63.6,59.1
81,toyota,gas,four,wagon,95.7,169.7,63.6,59.1
91,toyota,gas,four,wagon,95.7,169.7,63.6,59.1
91,toyota,,four,sedan,95.7,166.3,64.4,53
91,toyota,gas,four,hatchback,95.7,166.3,64.4,52.8
91,toyota,diesel,four,sedan,95.7,166.3,64.4,53
91,toyota,diesel,four,hatchback,95.7,166.3,64.4,52.8
91,toyota,gas,four,sedan,95.7,166.3,64.4,53
91,toyota,gas,four,hatchback,95.7,166.3,64.4,52.8
91,toyota,gas,four,sedan,95.7,166.3,64.4,52.8
168,toyota,gas,two,sedan,94.5,168.7,64,52.6
168,toyota,gas,two,hatchback,94.5,168.7,64,52.6
168,toyota,gas,two,sedan,94.5,168.7,64,52.6
168,toyota,,two,hatchback,94.5,168.7,64,52.6
134,toyota,,two,hardtop,98.4,176.2,65.6,52
134,toyota,,two,hardtop,98.4,176.2,65.6,52
134,toyota,,two,hatchback,98.4,176.2,65.6,52
134,toyota,,two,hardtop,98.4,176.2,65.6,52
134,toyota,,two,hatchback,98.4,176.2,65.6,52
134,toyota,,two,convertible,98.4,176.2,65.6,53
65,toyota,,four,sedan,102.4,175.6,66.5,54.9
65,toyota,,four,sedan,102.4,175.6,66.5,54.9
65,toyota,,four,hatchback,102.4,175.6,66.5,53.9
65,toyota,gas,four,sedan,102.4,175.6,66.5,54.9
65,toyota,gas,four,,102.4,175.6,66.5,53.9
197,toyota,gas,two,,102.9,183.5,67.7,52
197,toyota,gas,two,,102.9,183.5,67.7,52
90,toyota,gas,four,,104.5,187.8,66.5,54.1
?,toyota,gas,four,,104.5,187.8,66.5,54.1
122,volkswagen,diesel,two,,97.3,171.7,65.5,55.7
122,volkswagen,gas,,,97.3,171.7,65.5,55.7
94,volkswagen,diesel,,,97.3,171.7,65.5,55.7
94,volkswagen,gas,,,97.3,171.7,65.5,55.7
94,volkswagen,gas,,,97.3,171.7,65.5,55.7
94,volkswagen,diesel,,,97.3,171.7,65.5,55.7
94,volkswagen,gas,,,97.3,171.7,65.5,55.7
?,volkswagen,gas,,convertible,94.5,159.3,64.2,55.6
256,volkswagen,gas,,hatchback,94.5,165.7,64,51.4
?,volkswagen,gas,,sedan,100.4,180.2,66.9,55.1
?,volkswagen,diesel,,sedan,100.4,180.2,66.9,55.1
?,volkswagen,gas,,wagon,100.4,183.1,66.9,55.1
103,volvo,gas,,sedan,104.3,188.8,67.2,56.2
74,volvo,gas,,wagon,104.3,188.8,67.2,57.5
103,volvo,gas,,sedan,104.3,188.8,67.2,56.2
74,volvo,gas,,wagon,104.3,188.8,67.2,57.5
103,volvo,gas,,sedan,104.3,188.8,67.2,56.2
74,volvo,gas,four,wagon,104.3,188.8,67.2,57.5
95,volvo,gas,four,sedan,109.1,188.8,68.9,55.5
95,volvo,gas,four,sedan,109.1,188.8,68.8,55.5
95,volvo,gas,four,sedan,109.1,188.8,68.9,55.5
95,volvo,diesel,four,sedan,109.1,188.8,68.9,55.5
95,volvo,gas,four,sedan,109.1,188.8,68.9,55.5
